sample_id,pred,pred_seq,pred_mono,pred_all,col_text,col_n,kinh_n,sec,cell_char,note
M3_0219,尋,尋,尋,尋,移烏哈冤槎移故巴罡文妖泥杖髮尋吟生時是辰歲堯在诸,24,24,0.2013,㝵,ok
M3_0220,得,是,得,得,彼於世間壽清拜竟事之盈女旦川得是作丰復兼日西福,23,23,0.1704,㝵,ok
M3_0221,等,等,等,等,朔证罡麻碑罪碑佐卒閑中凋等壽碎明凜度奔看,20,20,0.2563,㝵,ok
M3_0222,尋,尋,尋,尋,主支秋到浪昆笑多旦好鹿垂仕朱晁特福重時尋置,21,21,0.197,㝵,ok
M3_0223,景,景,景,景,爾時陰景卷作先虎尋竈補帶度旦敢吃尋在体矣群莊,22,22,0.1635,㝵,ok
M3_0224,等,等,等,等,察走外壽特中弄察万之特等能多永几到執,18,18,0.178,㝵,ok
M3_0225,異,異,異,異,而煙為事冷麻方主斥自法尼朱云下特則功榮尋異体市初,24,24,0.1471,㝵,ok
M3_0226,孔,孔,孔,孔,朱旦爾晉瑪義猶破阿衣蔽司黍何奴孔尋唐,18,19,0.1486,㝵,ok
M3_0227,得,得,得,得,僥職結求官置特戰化仍麻得達跂懷征而官諸,19,19,0.2728,㝵,ok
M3_0228,,等,,,蕭能顧等此事戕赴天下唐直連天遠取爵分盈等,20,20,0.1429,㝵,ok
M3_0229,得,得,得,得,沿罪共奇幸如罪罪返裁得周奉皆事而丕申赦,19,19,0.1442,㝵,ok
M3_0230,是,是,是,是,事而福西分其併几庫黑福一是固欺施歇古拜視默拱,22,22,0.1309,㝵,ok
M3_0231,,等,等,,去信妙隨官代補姻垂化包寶虛饗双爵等於君,19,19,0.1364,㝵,ok
M3_0232,尋,尋,尋,尋,欺尋向望寄時掩妙公生時要傷掩凜麻禮眉沙求朱,21,22,0.1272,㝵,ok
M3_0233,受,景,受,受,命至尼先苦為蘇稷美異几持先尼公受景可為徵欺,21,21,0.1297,㝵,ok
M3_0234,等,等,等,等,把功無窮闭餘等孟末禦感身更主歷庄固欺行旦更離,22,22,0.1659,㝵,ok
M3_0235,尋,尋,尋,尋,主爾寶侍無努奔諸主家度尋意國几功德朱饒為守尋,22,22,0.1812,㝵,ok
M3_0236,得,得,得,得,友燒麻戶得多雲車討左周數從吃為尋禮橋在打眾法還,23,23,0.1485,㝵,ok
M3_0237,,尋,,,序衣丑代壯正諸別攬藥天堂總弄時尋禮茲城支由沙林,23,23,0.1644,㝵,ok
M3_0238,等,尋,等,等,別意債向丕等尋底几佇本道台位命年多尼謂欺,20,20,0.1266,㝵,ok
M3_0239,因,是,因,因,悲除畢体事石丕壽因流俸祝因是即重旦候因,19,20,0.1308,㝵,ok
M3_0240,早,早,早,早,燦鬼丕桃仍衝白麻打早歇寺歇飭宋年厨庄洋光發麻,22,22,0.1255,㝵,ok
M3_0241,守,守,守,守,守可祈尼朱葉弄德主奇常虛末弄爾世間為事公,20,20,0.1354,㝵,ok
M3_0242,是,是,是,是,奔至曰無茲尋是色旦君被体有但置安慰磨築真,20,20,0.1457,㝵,ok
M3_0243,,善,元,,官重屋亮尋廉敬廩聖意因公忘直於遠元善白証事重,22,22,0.1288,㝵,ok
M3_0244,尋,尋,尋,尋,拱罪尋如奔從錦主敢咽庫芳凡庄席樞姚天靑蜀分主吞,23,23,0.1538,㝵,ok
M3_0245,得,得,得,得,麻得走把也真虔麗把邊君女朱犀召為德主,18,18,0.135,㝵,ok
M3_0246,為,尋,為,為,術霄摩政壽為尋在因出而其生向之之矣御動尋異,21,21,0.1102,㝵,ok
M3_0247,矯,得,矯,矯,四户行麻曜仍麻等弄茲尼俗矯得些尋時女走此有從,22,22,0.1394,㝵,ok
M3_0248,尋,尋,尋,尋,尋我初固罪共年垂唐歸被事得而朱特佃還命罪,20,20,0.1739,㝵,ok
M3_0249,,,,,國意,2,22,0.0959,㝵,ok
M3_0250,畢,畢,畢,畢,是礼居從箕其万主齋年祝辰氏年觸言麻畢些隊,20,20,0.1543,㝵,ok
M3_0251,景,景,景,景,麻餘奉物困亦王悲徐羽渾禦運判兆我景鉉我,19,19,0.2,㝵,ok
M3_0252,寄,寄,寄,寄,色枯寄幫海化事骸双留繡歇几貧古其結是玉爻打其,22,22,0.1403,㝵,ok
M3_0253,尋,尋,尋,尋,囚落者体尋正鬼瑟歸麻垂天神征馬朱官運明尋麻,21,21,0.1546,㝵,ok
M3_0254,尋,尋,尋,尋,傷尋鄉曙瑪軍志祗福持麻打丑勾廉木稱眾 祕晦,18,22,0.2075,㝵,ok
M3_0255,景,景,景,景,群理之壯特奴連然臻官辰景女有來碑存特舜倘詩直,22,22,0.1683,㝵,ok
M3_0256,尋,尋,尋,尋,坦支勸尋些燒其麻牢庄朱旱些蜂実時走市理亮,20,21,0.141,㝵,ok
M3_0257,等,等,西,等西,無安異主實乔担門物初善世問西等庫中華吞下,20,18,0.2077,㝵,ok
M3_0258,尋,尋,尋,尋,尋拱吏朱用除固几怕甚等朱別事爪辰呈策几聽真欺,22,22,0.1652,㝵,ok
M3_0259,尋,尋,尋,尋,翁皇尼先要尼櫛些義要也特書尋特仍兀公鑑道丕翁,22,22,0.1342,㝵,ok
M3_0260,等,等,等,等,去事之毒等所每後因多將外可丕麻庄体侯旦,19,19,0.1563,㝵,ok
M3_0261,弄,,弄,弄,磨吞取祀爾咒取祧爾其而朱漂弄得及留姻至何將些而,23,24,0.1616,㝵,ok
M3_0262,尋,尋,尋,尋,風拱數眉女罢尋勉方主尽時生之尋些餘麼鬼府歇,21,22,0.1867,㝵,ok
M3_0263,尋,尋,尋,尋,歲奋本蔑事選尼罢裔麻毫正体蔑形像尋文,18,18,0.2455,㝵,ok
M3_0264,得,得,得,得,本通傳也同年置朱已差年時為處五時白壬忠得樂仍商神,24,24,0.1041,㝵,ok
M3_0265,要,等,要,要,中辰樓樣爾何固要等垂先要何衡些生徑於滅頗雷獲,22,22,0.1545,㝵,ok
M3_0266,是,是,是,是,祖念架脩行旦時葬曰旺辭生詩天下押是在相巫,20,20,0.1532,㝵,ok
M3_0267,畢,畢,畢,畢,每主奉連曰震主奉尊君餘固法年處尊官赦畢,19,19,0.1752,㝵,ok
M3_0268,是,是,是,是,是世間双壽群末德主界矣拜莊碎真某保碎未將,20,20,0.1914,㝵,ok
M3_0269,尋,尋,尋,尋,罢有晉年後者何哈云累樂今玉歌尋行衣移車圓米,21,22,0.2261,㝵,ok
M3_0270,等,等,等,等,朗如超衣固帛吞取屏諸今麻玉旦餘各葉要詩等逢,21,21,0.1354,㝵,ok
M3_0271,尋,尋,尋,尋,餘孛申尋速辰字初罡正固罪石為僥除奴之,18,19,0.1778,㝵,ok
M3_0272,明,景,景,明景,會等升阿捕蘇畜侯氏弁至計發姑發鳥明景潔,19,19,0.1722,㝵,ok
M3_0273,等,等,等,等,則義命仕召罰旅几路等運孟末麻懷弇對碎格,19,20,0.1376,㝵,ok
M3_0274,尋,尋,尋,尋,尋色用翁皇之綵麻循命漂共勉德主爾欽弄欲飭朱年各,23,23,0.136,㝵,ok
M3_0275,矜,尋,矜,矜,金廩連我受官該矜尋中殿隨殉成白空嚴麻於公翁至意,23,23,0.1827,㝵,ok
M3_0276,等,等,等,等,義弃備如默仍古卒兵騎一中稽理旦低仕侍命事慘等宜,23,23,0.1784,㝵,ok
M3_0277,別,尋,別,別,尾朱樓為冬有別尋國才時用執位天下扉尋初已代,21,21,0.1186,㝵,ok
M3_0278,等,等,等,等,今安賊丕尋時尋麻代等忌醉反押平為尋年閱事許重,22,22,0.1649,㝵,ok
M3_0279,畢,畢,畢,畢,李共柴固將仁方不体功華畢時撰曰無曲麻尋閣,20,23,0.2085,㝵,ok
M3_0280,尋,尋,尋,尋,奇共巴森軍發斯各尋信道公正双爾官共開饒尋軍休,22,22,0.215,㝵,ok
M3_0281,尋,尋,尋,尋,鄧年爾坦垂門物是尋罪德支厥衆年敗諸犯罪宅天,21,21,0.1559,㝵,ok
M3_0282,景,景,景,景,歷案可皆殿咻署朱可悉景悶朱是此保呈百五,19,18,0.1407,㝵,ok
M3_0283,等,等,等,等母,庫為道冷衝等史術囚固罪等女祀中麻祗湖罢母等,21,21,0.1422,㝵,ok
M3_0284,是,是,是,是,古祭札皮連為為召死為道歇因除咽旦昆是淺異施,21,22,0.175,㝵,ok
M3_0285,尋,尋,尋,尋,尼爾理年通立些清朱多季边意女及焉吒尋庄直尋靜來,23,23,0.1922,㝵,ok
M3_0286,尋,尋,尋,尋,主丞朱年名折馬道麻庄天尋些貝双醫事近主丞罰,21,21,0.1938,㝵,ok
M3_0287,畢,畢,畢,畢,時忌畢冥共方主斥州朗無穷為功榮姬垂歌些稜那朱,22,22,0.1698,㝵,ok
M3_0288,尋,尋,尋,尋,吒遠補道奇尋廟折左赤補道矣旦欺爾可昆至,19,19,0.1822,㝵,ok
M3_0289,是,是,是,是,是礼居從箕其万主齋年祝辰氏年觸言麻畢些隊,20,20,0.1543,㝵,ok
M3_0290,尋,尋,尋,尋,不尋百數同歇仍先几庫甲中亥特點廟憂旱壽,19,20,0.1147,㝵,ok
M3_0291,尋,尋,尋,尋,為無巴翁垂句代壽與沛事庫凜麻災尋畧召切要尋委,22,22,0.1407,㝵,ok
M3_0292,等,等,等,等,君固猿庄悲餘屏尋女求包招吃是芻等洋乳連哭共呌禳,23,23,0.1544,㝵,ok
M3_0293,等,尋,等,等,庫巾然與兆民廩等尋極襖命朱故旦或嘗瑪於殺峯底,22,22,0.1668,㝵,ok
M3_0294,得,得,得,得,勸悲停餘得折蓮拘禪意廉餘孝無雜處在哈,18,18,0.2352,㝵,ok
M3_0295,等,等,等,等,她垂在生罡於辦召姑眉發阿等餘奉每主支秋連,20,20,0.1778,㝵,ok
M3_0296,,尋,,,命死仕朱旦歇希其陰逼有云仍傷庫釜飯尋些云庄特,22,22,0.1374,㝵,ok
M3_0297,等,等,等,等,隋鬼事与吏朱隱几奸女欺等結旦我巴等相陟主,20,20,0.1612,㝵,ok
M3_0298,得,得,得,得,連席弄政帝庄則祈帶朱特詩付來長得聽固極是延,21,21,0.2088,㝵,ok
M3_0299,尋,尋,尋,尋,開徐翁至由因現竈麻遠朱尋包用各尋安童貞數意,21,21,0.1116,㝵,ok
