ocr_char,syllable,n_rows,n_pages,n_books,tiers,char_in_dict,dict_readings_of_char,n_dict_chars_for_syllable,dict_chars_for_syllable,similar_hit,gold_count,verdict,true_char,sample_images
将,ra,3,3,1,REVIEW,True,thương tương tướng,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,7,,,
將,ga,3,3,2,REVIEW,True,câng cưng cương rướn thương tương tướng,0,,,0,,,
虎,đâu,3,3,3,REVIEW,True,hố hổ,34,     𱏫 丟 丢 兜 兠 厾 叨 唗 篼 芇 蔸 銩 铥 頭 颩,,7,,,
命,lọn,3,3,1,REVIEW,True,danh hình lệnh minh mình mạng mạnh mệnh mịnh người ranh,13,侖 掄 淪 窿 論 隆 𠐜 𠓹 𧪺 𫣝 𫤍 󰅬 󰽔,侖,410,,,
藥,lăm,3,3,2,REVIEW,True,dược rạc thuốc ước,11,啉 婪 惏 林 𠄻 𠄼 𠵂 𢆥 𬂽 󰢵 𭸓,,0,,,
還,lạ,3,3,1,REVIEW,True,hoàn hài toàn về,29, 吕 呂 囉 異 罗 羅 莒 逻 邏 𡄀 𡆗 𡚎 𤳧 𤴏 𦋝 𦌴 𦍉 𨓐 𨔍,邏,0,,,gold/stt11_page_0138_c04_074.png gold/stt11_page_0212_c06_116.png gold/stt11_page_0258_c05_108.png
呼,thì,3,3,1,REVIEW,True,hao ho há hò hó hót hô hú hút hả hố hốt,56,𱢑 匙 埘 塒 寺 峕 常 提 时 旹 時 晨 曟 榯 氏 畤 秲 茄 莳 蒔,,0,,,
之,đời,3,3,3,REVIEW,True,ap chi chỉ chị giây gì gì; sao,7,世 代 匕 圅 𠁀 𫢫 󱏙,,327,,,
尚,thắng,3,2,1,REVIEW,True,chuộng sượng thượng thảng thằng,23,乗 乘 勝 嚴 椉 肽 胜 腥 𠅞 𠅟 𠅫 𠓲 𠓸 𠓽 𠙟 𠢧 𠨇 𡕲 𢾶 𣔕,,0,,,
呼,giữ,3,3,2,REVIEW,True,hao ho há hò hó hót hô hú hút hả hố hốt,38,𱠎 𰑚 与 佇 咛 啔 宁 守 抒 拧 擰 渚 竚 與 貯 㑏 𡀐 𡦂 𡨸 𡨹,,0,,,
蕤,già,3,3,1,REVIEW,True,nhuy,38, 伽 咖 嗻 夜 妑 庶 拁 枷 查 査 椵 楂 槎 樝 珈 痂 笳 耞 茄,,0,,,
呻,ru,3,3,2,REVIEW,True,hạp thân thăn thơn,12,凨 欤 歟 油 游 由 與 遊 𠱋 𨒣 󰡽 󱺄,,0,,,
那,da,3,3,2,REVIEW,True,mẹ na nà ná nư nạ nả nớ,36,加 坡 多 峫 庒 捓 揶 枒 枷 栘 椰 椵 爷 爺 琊 瑘 皮 耞 耶 胣,,77,,,
政,song,3,3,1,REVIEW,True,chinh chiếng chánh chênh chính chếnh giêng,47,双 囍 囪 囱 愯 摐 淙 滝 漴 牎 牕 窓 窗 窻 葱 蔥 衝 雙 㕠 㧐,双,0,,,
𠾖,là,3,3,1,REVIEW,True,khí,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,1,,,
㸔,tiếng,3,3,2,REVIEW,True,khan khán khản,6,曢 浽 省 㗂 𠳒 𪱐,,0,,,
頥,ri,3,3,1,REVIEW,True,di,12,咦 夷 洟 荑 蛦 鴺 鵜 𠶋 𠺹 𦯔 𪅨 󱸗,,0,,,
㷔,đốt,3,3,2,REVIEW,True,dim diêm diễm,30,咄 嘥 拙 挨 捽 杌 柮 淬 炪 焠 胐 茁 葖 飿 饳 㤕 㷝 𢪄 𢬪 𢱞,,0,,,
鬼,quy,3,2,1,REVIEW,True,e i khuỷu quai quẽ quỉ quỷ quỹ sưu ỷ,51,亀 妫 媯 嫢 嬀 帰 归 摫 椝 槻 槼 歸 溈 潙 皈 瞁 瞡 規 规 騩,,57,,,
梁,ra,3,3,1,REVIEW,True,giường lương rường sườn,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,
傳,truyen,3,3,2,REVIEW,True,chiền chuyến chuyền chuyện truyến truyền truyện,0,,,104,,,
桓,mặt,3,3,1,REVIEW,True,hoàn hườn,20, 依 密 末 湎 炦 牧 緬 默 𠅅 𤘴 𩈘 𪾺 𫆴 𫖀 𬑉 𬰠 𬰢 󰘚 󱳄,,0,,,
瑪,rô,3,3,1,REVIEW,True,mã mẽ,11,噜 嚕 魲 鮋 鯈 鱸 𩼁 𩽬 𫙔 𬠩 󱅫,,0,,,
时,dối,3,3,2,REVIEW,True,thì thời,13,咄 噲 嚉 对 対 對 肁 𠱤 𠲝 𡓃 𡭊 𢇉 𫴬,对,1,,,
兮,ông,3,2,2,REVIEW,True,a hề ngây,17, 嗡 東 王 翁 蓊 螉 鶲 䈵 𣸜 𩔚 𪂔 𪪳 󰎰 塕 滃 鹟,,15,,,
桀,đi,3,3,1,REVIEW,True,kiết kiệt kẹt kịt,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,0,,,
碍,ong,3,3,1,REVIEW,True,ngái ngáy ngại ngời,25,翁 蚌 蜂 螉 蠭 䗦 䗬 𧉳 𧊩 𧋴 𧒒 𧓶 𧔧 𪪳 󱤇 󱹀 凍 咚 喠 容,,0,,,
瑰,tay,3,3,1,REVIEW,True,coi côi cùi khôi khỏi khối ngói quí quý,14, 塞 壦 思 拪 指 揌 検 碎 腮 遷 𢬣 𪮏 󱭦,,17,,,
共,dữ,3,3,1,REVIEW,True,cung cõng cùng cúng cũng cọng cộng cụng củng giở gọng khủng,36, 𱠎 与 予 兴 嬹 屿 嶼 懙 歟 璵 與 興 㑏 㒷 㠘 㺞 𠔔 𡨺 𡽬,,783,,,
死,đã,3,3,1,REVIEW,True,chết thi thây tử,16,乑 也 卒 吏 吔 它 拖 易 胣 諸 陀 㐌 𠰹 𢒕 𣦁 𧭷,,65,,,
疾,hãy,3,3,2,REVIEW,True,tật,23,亥 俟 咍 咳 唉 孩 忍 挨 改 欬 欸 涘 矣 誒 駭 駴 㐌 㗒 㤥 䀭,孩 涘,30,,,
𭔿,thánh,3,3,2,REVIEW,False,,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,,0,,,
出,hai,3,3,1,REVIEW,True,chút cú mấy ra sích thập xuất xích xót xúy,18, 侼 台 咍 怡 檯 瓵 臺 邰 颱 鮐 㣍 𠄩 𠄽 𠘭 𡐬 𪱜 󰀘,,0,,,
鳩,chim,3,3,1,REVIEW,True,cưu,7, 占 耯 鵑 𪀄 𫚳 󰖀,,0,,,
殊,thưa,3,3,1,REVIEW,True,thò thù thùa,13,撪 申 疎 疏 踈 䜹 𠲿 𠽔 𤴚 𫄋 󰣚 󱗷 󱛕,,0,,,
既,nước,3,3,2,REVIEW,True,cáy cưới cấy dĩ kí ký,13, 匿 國 娘 搩 於 渃 珠 箸 著 𣋐 𣥧 𫭔,,0,,,
明,ngày,3,3,2,REVIEW,True,bằng minh miêng mênh mình mừng thanh,11,ヌ  匕 又 挧 時 㝵 𣈗 𣈜 𣦍 𬏝,,88,,,
磊,một,3,3,1,REVIEW,True,chối dội giỏi hỏi lòi lói lũi lẫn lọi lối lỗi lội,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,40,,,
瑜,ong,3,3,2,REVIEW,True,du,25,翁 蚌 蜂 螉 蠭 䗦 䗬 𧉳 𧊩 𧋴 𧒒 𧓶 𧔧 𪪳 󱤇 󱹀 凍 咚 喠 容,,0,,,
棲,lâu,3,3,1,REVIEW,True,thê tây tê,82,偻 僂 剅 喽 嘍 塿 娄 婁 屚 廔 慺 憻 搂 摟 楼 樓 氀 溇 漊 漏,偻 楼 樓 褸,2,,,
森,trăm,3,3,2,REVIEW,True,chùm dâm dúm dụm khom lom râm rậm sum sâm sùm xum,10,啉 婪 林 炧 百 𠵂 𤾓 𬃴 󰭖 󱦏,,0,,,
断,đoan,3,3,1,REVIEW,True,đoán đoạn đón,9,剬 專 湍 漙 端 耑 鍴 𥪄 𦓝,,87,,,
順,phiền,3,3,2,REVIEW,True,thuận thộn tuần,29,墦 娩 幡 樊 瀿 烦 焚 煩 燔 笲 籓 緐 縏 繁 羳 膰 蕃 藩 蘩 蟠,,3,,,
八,ý,3,3,2,REVIEW,True,bát bét bít bắt bịt bớt cửu quĩ quỹ xốc,43,亄 億 噫 悥 意 憶 懿 抑 曀 歖 薏 衣 鐿 镱 饐 鷧 鷾 㦉 㦤 㱅,,0,,,
伺,vua,3,3,1,REVIEW,True,ti tí tý tơ tư tứ,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,0,,,
万,bà,3,3,1,REVIEW,True,muôn mặc vàn vạn,36,𱙘 嘙 堏 壩 妑 婆 把 掱 搫 朳 杷 欛 波 潖 爬 琶 番 皤 磻 粑,,0,,,
示,trời,3,3,1,REVIEW,True,chỉ kì kỳ thị tự,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,1,,,
初,lời,3,3,2,REVIEW,True,chưa huyễn sơ sờ thơ xơ xưa,27,例 俐 分 利 吝 唎 坘 塁 痢 行 調 𠅜 𠇮 𠜫 𠳐 𠳒 𡗶 𢈱 𢚸 𥒥,,6,,,
棄,đẹp,3,3,1,REVIEW,True,bằng khí,22,媟 怗 惵 擛 枼 牒 聶 葉 㥈 䈎 𢛐 𢜨 𢢲 𤗽 𥮧 𦯧 𦯲 𦶫 𦹁 𫅠,,0,,,
族,mẹ,3,3,2,REVIEW,True,sộc thấu thốc tấu tọc tộc,9,姆 媄 憽 毋 母 美 袄 那 㜫,媄,0,,,
磎,mẹ,3,3,1,REVIEW,True,khê,9,姆 媄 憽 毋 母 美 袄 那 㜫,,0,,,
棄,thánh,3,3,3,REVIEW,True,bằng khí,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,,0,,,
異,la,3,2,1,REVIEW,True,di dị lạ,46,𱺵 儸 啰 囉 囖 攎 攞 椤 欏 猡 玀 箩 籮 纙 罗 羅 萝 蘿 覶 覼,,1,,,
磊,nhà,3,3,1,REVIEW,True,chối dội giỏi hỏi lòi lói lũi lẫn lọi lối lỗi lội,19,伽 傢 如 宊 家 牙 芽 茄 茹 䋈 𠖔 𡧚 𡩀 𡩅 𡩙 𡩚 𡩵 𨔽 󰕒,,40,,,
刍,ô,3,3,1,REVIEW,True,sô trâu,53,乌 兀 呜 嗚 圬 弧 恶 惡 戽 扵 捂 握 摀 於 杇 歍 汅 汙 汚 污,,0,,,
死,rách,3,3,1,REVIEW,True,chết thi thây tử,31, 冊 攊 析 格 歷 泟 瀝 積 績 裂 褐 襀 𤁋 𤃝 𤃹 𦀍 𦀎 𦃾 𦇔,,65,,,
痒,còn,3,3,2,REVIEW,True,dương dưỡng dạng ngưa tường,15, 哙 喂 噲 存 羣 群 自 䭽 𠹩 𡥵 𫲳 󰅹 󱟟 󱫦,,0,,,
祐,sống,3,3,1,REVIEW,True,hữu hựu,18,弄 生 銃 𠸙 𤯨 𤯩 𦡠 𧚠 𩀳 𩩇 𩩖 𪁇 𪟤 𫪹 𬴑 𮌱 󱝙 󱨱,,0,,,
凌,biển,3,3,1,REVIEW,True,dưng lâng lăn lăng lưng lắng lờn lừng răng rưng trừng,45,匾 变 彼 惼 扁 汴 煸 猵 碥 稨 艑 萹 藊 蝙 褊 諞 谝 蹁 騗 騙,,1,,,
皆,tiếng,3,3,1,REVIEW,True,dai giai,6,曢 浽 省 㗂 𠳒 𪱐,,0,,,
𡵯,về,3,3,1,REVIEW,True,bịa bộ bụa,23,𱸳 揮 撝 皮 米 耒 衛 衞 還 駆 䘙 𠀄 𡗅 𢠿 𧗱 𩤸 𬩍 󰓟 󰡲 󱘌,,0,,,
鷺,và,3,3,2,REVIEW,True,cò kéc lạc lộ,17,叵 吧 和 喡 巴 為 頗 𠄧 𡂄 𡝕 𢯓 𢯠 𢽼 𣀟 𩑼 𪽡 𬏓,,0,,,
暗,tê,3,3,2,REVIEW,True,hôm ám âm ướm,99,儕 厮 嘶 屖 廝 恓 懠 挤 撕 擠 斯 柶 栖 棲 樨 澌 犀 疪 痹 痺,,9,,,
眾,hồn,3,3,1,REVIEW,True,chúng giống với,28,塊 愧 捆 楎 浑 混 渾 珲 琿 緷 諢 诨 隗 顐 餛 餫 馄 魂 魄 鼲,,0,,,
末,cho,3,3,2,REVIEW,True,mượt mạt mất mắc mắt mặt mết mệt,12, 咮 埃 木 朱 株 沫 渚 濐 硃 陼 㵭,木 朱,285,,,
冠,người,3,3,1,REVIEW,True,an quan quán,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,0,,,silver/stt4_page_0082_c03_049.png silver/stt4_page_0176_c02_042.png silver/stt4_page_0256_c02_014.png
眩,cô,3,3,1,REVIEW,True,gioèn huyền huyễn oèn,61,估 呱 咕 喿 夃 姑 嫴 孤 家 搰 柧 沽 泒 瓜 瘔 笟 箍 箛 篐 罛,,0,,,
看,vua,3,3,2,REVIEW,True,khan khen khán khăn khản,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,君 𤤰,2,,,
曳,một,3,3,1,REVIEW,True,duệ dài dái dây dìa dười dượi dại dạy dấy dậy dễ,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,更,66,,,gold/stt11_page_0238_c08_169.png gold/stt11_page_0266_c07_109.png
餘,giờ,3,3,1,REVIEW,True,dơ dư dờ hơn thừa,14,俆 徐 除 𠀺 𣇞 𣉹 𨑦 𪬪 𪱡 𬁊 𬁐 󱤗 󱤫 󱮠,徐,2,,,gold/stt2_page_0084_c06_113.png gold/stt2_page_0090_c05_081.png
𭁵,con,3,3,1,REVIEW,False,,15,ヌ  婫 岞 昆 晜 罤 群 㒭 𡥵 𣋥 𤙭 𥊽 𧲟 𫴾,,0,,,
僥,theo,3,3,1,REVIEW,True,khiếu khỉu kiểu nghiêu nghêu nghẹo nghễu nghệu nhau nhiêu,16,嘵 燒 繞 訨 趬 跳 跷 蹺 蹻 遶 饒 𣦜 𬩱 󰏐 󱘢 󱷻,嘵 燒 繞 蹺 遶 饒,18,,,
冶,hay,3,3,2,REVIEW,True,dã,23, 処 台 呍 咍 唭 熊 特 竜 而 耐 能 螚 䏻 𠄩 𣕘 𦝕 𫧇 𫨩 󰀉,台 咍 𠄩,0,,,gold/stt2_page_0278_c04_057.png gold/stt4_page_0198_c07_104.png
冲,phải,3,3,1,REVIEW,True,suông sũng trong trùng vào xong xung xông xống,30,仕 伂 塊 折 拜 拝 朝 沛 派 芾 霈 㳈 𡴬 𢪙 𢫶 𢮠 𢰛 𢱭 𢳎 𢴽,,0,,,
有,tiếng,3,3,2,REVIEW,True,dựu hơi hỡi hữu hựu vị,6,曢 浽 省 㗂 𠳒 𪱐,,0,,,
有,le,3,3,1,REVIEW,True,dựu hơi hỡi hữu hựu vị,15,囄 离 藜 離 魑 黎 䅻 𠲥 𠻗 𨾫 𩀌 𪅆 𫤡 󰌑 󱪏,,0,,,
飭,xức,3,3,1,REVIEW,True,sức,9,式 拭 矗 聀 職 軄 𢁊 𢂑 𢲦,,62,,,
皂,là,3,3,1,REVIEW,True,tạo,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,号,0,,,gold/stt4_page_0052_c07_124.png gold/stt4_page_0070_c01_004.png gold/stt4_page_0128_c06_127.png
砲,bà,3,3,1,REVIEW,True,bào bác phao pháo than,36,𱙘 嘙 堏 壩 妑 婆 把 掱 搫 朳 杷 欛 波 潖 爬 琶 番 皤 磻 粑,,0,,,
晉,rô,3,2,2,REVIEW,True,tấn tắn tớn,11,噜 嚕 魲 鮋 鯈 鱸 𩼁 𩽬 𫙔 𬠩 󱅫,,0,,,
砰,tôi,3,3,3,REVIEW,True,bình phanh,17,倅 晬 淬 焠 熣 的 睟 砕 碎 㳃 𠗚 𣅢 𤏣 𤭢 𪝬 𫇈 𫬮,砕,0,,,gold/stt2_page_0178_c04_064.png gold/stt11_page_0292_c06_118.png
果,là,3,3,3,REVIEW,True,a hủ khỏa quà quả,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,3,,,
昜,dễ,3,3,1,REVIEW,True,dàng dương giang,24,几 吏 弚 弟 悌 抴 拽 易 曳 曵 第 蜴 㐌 㑥 𠂖 𠃓 𡱿 𢦢 𣉷 𥚯,易,0,,,gold/stt11_page_0184_c08_150.png gold/stt11_page_0204_c03_058.png
具,người,3,3,2,REVIEW,True,cu câu cũ cỗ cụ gu gù gỗ,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,昆,0,,,gold/stt4_page_0034_c01_002.png gold/stt11_page_0106_c04_082.png gold/stt11_page_0130_c03_064.png
甦,sống,3,3,1,REVIEW,True,to tô,18,弄 生 銃 𠸙 𤯨 𤯩 𦡠 𧚠 𩀳 𩩇 𩩖 𪁇 𪟤 𫪹 𬴑 𮌱 󱝙 󱨱,,0,,,
星,thánh,3,3,1,REVIEW,True,ranh tanh tinh tênh,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,,11,,,
石,đức,3,3,1,REVIEW,True,sạch thạch thệu đá đán đạn,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,0,,,
杲,người,3,3,1,REVIEW,True,cảo gạo kiểu,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,0,,,silver/stt11_page_0094_c04_078.png silver/stt11_page_0232_c03_061.png
是,chịu,3,3,1,REVIEW,True,thị,8,受 召 邵 𠮥 𠮦 𠹾 𠺥 𥃝,,0,,,
杢,lại,3,2,2,REVIEW,False,,55,使 來 俫 倈 勑 厉 厲 又 叓 右 叹 吏 嬾 尼 徕 徠 懒 懶 束 濑,,0,,,
𡰱,chiu,3,2,1,REVIEW,True,ni này nê nì nơi nầy,8,佋 巶 招 昭 炤 照 𠶅 𢱐,,3,,,
石,vua,3,3,2,REVIEW,True,sạch thạch thệu đá đán đạn,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,君,0,,,gold/stt2_page_0230_c06_118.png gold/stt4_page_0140_c03_050.png gold/stt4_page_0200_c04_079.png
產,ví,3,3,2,REVIEW,True,sản sẵn sởn,27, 𱒢 叿 啻 喟 嘳 圍 彼 欳 為 爲 訲 譬 㕟 𠣠 𠣱 𠷝 𠸠 𠺏 𠿥,,1,,,
几,ké,3,3,2,REVIEW,True,cơ dễ ghế hòn ki ky kì kĩ kẹ kẻ kẽ kỉ,7,寄 峜 薊 計 𦵗 𧨻 𬚌,,663,,,
是,người,3,3,2,REVIEW,True,thị,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,0,,,silver/stt11_page_0108_c07_135.png silver/stt11_page_0172_c01_022.png
似,ấy,3,3,1,REVIEW,True,tợ từa tự tựa,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,0,,,
杖,su,3,3,2,REVIEW,True,rường tráng trượng,11,樞 秋 毹 毺 穌 芇 芻 蒭 蘇 蘓 㮲,,0,,,
斟,ngày,3,3,1,REVIEW,True,cham châm chăm chầm chậm,11,ヌ  匕 又 挧 時 㝵 𣈗 𣈜 𣦍 𬏝,,0,,,
曽,rô,3,3,1,REVIEW,True,tâng tăng tơn tưng tằng từng,11,噜 嚕 魲 鮋 鯈 鱸 𩼁 𩽬 𫙔 𬠩 󱅫,,0,,,
效,kính,3,3,1,REVIEW,True,hiệu hào loài,36,俓 倞 劲 勁 寎 径 徑 憼 敬 檠 泾 涇 烴 獍 痙 禮 經 葝 迳 逕,,0,,,
琰,nhăm,3,3,1,REVIEW,True,diễm diệm dặm,11,任 仼 壬 妊 賃 𠄶 𠰃 𢓩 𥄮 󱠞 󱹩,,1,,,
丈,giê,3,3,2,REVIEW,True,dượng rường trượng,9,搘 支 枝 梔 肢 𠦙 𡽒 𢺶 𣏃,支,0,,,gold/stt4_page_0154_c09_161.png gold/stt11_page_0018_c09_158.png gold/stt11_page_0130_c04_069.png
鲁,người,3,3,1,REVIEW,True,lỗ trổ,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,1,,,silver/stt4_page_0018_c02_033.png silver/stt4_page_0024_c09_178.png
教,sáu,3,3,1,REVIEW,True,dáo dìu dạy giao giáo hiệu học hục ráo ráu tráo áo,7,了 婅 老 𠯿 𦒹 󰔝 󰮏,,6,,,
兜,ra,3,3,1,REVIEW,True,dâu đâu đây đâủ đẩu,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,6,,,
㸔,li,3,3,1,REVIEW,True,khan khán khản,113,剺 厘 喱 囁 嫠 孋 廛 彲 斄 杝 氂 漓 灕 牦 犛 狸 琍 璃 瓈 瓼,,0,,,
祖,giở,3,2,1,REVIEW,True,chõ chỗ giỏ giỗ tô tỏ tổ,16,𱠎 𱟩 共 捕 者 阻 𠶁 𡁎 𢷣 𧿨 𫽻 𭁈 󰇥 󰇾 󱡲 󱸏,阻,3,,,
数,đi,3,3,1,REVIEW,True,sác sô số sồ sổ sỗ sộ sủa xúc xọ xỏ,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,0,,,
由,rô,3,3,2,REVIEW,True,do dô dù ro ru yêu,11,噜 嚕 魲 鮋 鯈 鱸 𩼁 𩽬 𫙔 𬠩 󱅫,,34,,,
男,là,3,3,2,REVIEW,True,nam,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,11,,,
数,tha,3,3,1,REVIEW,True,sác sô số sồ sổ sỗ sộ sủa xúc xọ xỏ,47,他 佗 匜 咃 她 它 嵯 差 怹 扡 拕 拖 搋 搓 柂 牠 瑳 砣 磋 祂,赦,0,,,gold/stt4_page_0112_c01_018.png gold/stt4_page_0130_c01_012.png
由,du,3,3,2,REVIEW,True,do dô dù ro ru yêu,138,俞 偷 偸 兪 喻 婾 媮 峳 崳 怞 悠 愈 愉 抭 揄 攸 斿 旒 柚 楡,柚 油 𠱋,34,,,gold/stt4_page_0200_c07_127.png
入,ay,3,3,2,REVIEW,True,nhép nhạp nhấp nhập nhắp nhẹp vào,0,,,0,,,
祖,xem,3,3,1,REVIEW,True,chõ chỗ giỏ giỗ tô tỏ tổ,18, 佔 占 呫 姟 娂 瞻 袩 覘 貼 㡇 䀡 䄡 䦓 𤎥 𫀅 󰏙 󰠉,,3,,,
免,đem,3,3,1,REVIEW,True,lẫn miễn mém mấy mến mễm mễn mịn vấn,28,   冘 剾 抌 眈 耽 躭 酖 鴆 𢲠 𨈔 𨈠 𨈦 𨈨 𨊍 𨊗 𨑴 𨑻,,1,,,
文,nữa,3,3,1,REVIEW,True,von văn vấn vằn ón ỉn ỏn ổn ủn,5,女 姅 汝 𠯆 𡛤,,5,,,
𡨚,đâu,3,3,2,REVIEW,True,oan,34,     𱏫 丟 丢 兜 兠 厾 叨 唗 篼 芇 蔸 銩 铥 頭 颩,,0,,,
券,về,3,3,1,REVIEW,True,khoán khuyên,23,𱸳 揮 撝 皮 米 耒 衛 衞 還 駆 䘙 𠀄 𡗅 𢠿 𧗱 𩤸 𬩍 󰓟 󰡲 󱘌,,1,,,
𭃡,xem,3,3,2,REVIEW,False,,18, 佔 占 呫 姟 娂 瞻 袩 覘 貼 㡇 䀡 䄡 䦓 𤎥 𫀅 󰏙 󰠉,,0,,,
祗,lưỡi,3,3,2,REVIEW,True,chi,13,叓 吏 攨 旘 礼 㕝 䄆 𥚇 𦧜 𦧽 󰀬 󰟴 𥙸,,0,,,
𭸟,gà,3,2,2,REVIEW,False,,17,欹 犄 猗 鐗 雞 鵸 鷄 䝝 𤠄 𨿫 𪂮 𪃴 𪃿 𪰏 𫰄 𬞢 𬷤,,0,,,
甫,thì,3,3,2,REVIEW,True,bo bô bố pho phô phủ,56,𱢑 匙 埘 塒 寺 峕 常 提 时 旹 時 晨 曟 榯 氏 畤 秲 茄 莳 蒔,,7,,,
魏,gương,3,3,2,REVIEW,True,ngoai nguy ngùy ngụy,20,強 彊 爯 監 葁 薑 鍳 鏡 鑑 鑒 鑬 𠻁 𢏟 𣚦 𦎛 𦝄 𧖑 𨰲 󱟓 󱟔,,0,,,
燭,lửa,2,2,2,REVIEW,True,chúc luộc đuốc,8, 𱪵 呂 帞 火 焒 󰌎 󰌕,,4,,,
杏,lần,2,2,1,REVIEW,True,có hạnh,37,各 吝 夤 寅 層 恡 悋 濥 路 㖁 㝙 𠞺 𠫤 𠯌 𠯛 𠲲 𠳈 𠳺 𠳻 𠴽,,0,,,
封,đoan,2,2,1,REVIEW,True,phong,9,剬 專 湍 漙 端 耑 鍴 𥪄 𦓝,,11,,,
虗,đường,2,2,2,REVIEW,True,hơ hư hưa hử hự khờ,49, 𱻌 傏 又 唐 啺 坣 堂 塘 墻 搪 摚 棠 榶 樘 溏 煻 瑭 當 穷,,0,,,
申,ru,2,2,1,REVIEW,True,thân thăn thưa,12,凨 欤 歟 油 游 由 與 遊 𠱋 𨒣 󰡽 󱺄,由,0,,,
虜,le,2,2,1,REVIEW,True,lũ lỗ,15,囄 离 藜 離 魑 黎 䅻 𠲥 𠻗 𨾫 𩀌 𪅆 𫤡 󰌑 󱪏,,0,,,
杓,câu,2,2,2,REVIEW,True,choắt chuốc chước chộp duộc giuộc thược tiêu tróc trốc xóc xốc,82,仇 佝 俱 倶 具 冓 勹 勾 包 句 呴 够 夠 怐 抅 拘 挶 搆 朐 构,,0,,,
将,ri,2,2,1,REVIEW,True,thương tương tướng,12,咦 夷 洟 荑 蛦 鴺 鵜 𠶋 𠺹 𦯔 𪅨 󱸗,,7,,,
将,chết,2,2,2,REVIEW,True,thương tương tướng,20,划 托 找 折 摺 死 歽 爪 爫 翼 㪿 𣂚 𣂟 𣂫 𣂲 𣂹 𣨰 𣩁 𣩂 󰅹,,7,,,
百,trình,2,2,1,REVIEW,True,bá bách mạch trăm,23,呈 埕 旋 狂 珵 程 脭 裎 郢 酲 醒 鏇 镟 颴 𠴔 𡉚 𡟐 𢭀 𢳄 𨁎,,0,,,
檢,hùm,2,1,1,REVIEW,True,ghém kiềm kiểm,6,𤞻 𧳘 𬮎 󰁫 󰠆 󱬻,,0,,,
略,hai,2,2,2,REVIEW,True,lược trước,18, 侼 台 咍 怡 檯 瓵 臺 邰 颱 鮐 㣍 𠄩 𠄽 𠘭 𡐬 𪱜 󰀘,,7,,,
