ocr_char,syllable,so_o,so_sach,so_trang,similar_hit,char_in_dict,gold_count,diem_unihan,nghieng_ve,vi_tri_1,vi_tri_2,NGUOI_DUYET,GHI_CHU
㷔,đốt,4,2,4,,dimdiêmdiễm,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0138 c9 [252, 1796, 353, 1912]","stt11/page_0240 c6 [699, 2122, 804, 2235]",,
丶,đời,4,2,4,,chuachõchúchủgiú,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0010 c3 [1150, 1122, 1268, 1245]","stt11/page_0094 c5 [879, 686, 983, 787]",,
乳,là,4,2,4,,búnhúnhũnhỏnhỗ,18,0.0000,A_TU_DIEN_THIEU,"stt2/page_0086 c6 [697, 1644, 799, 1744]","stt4/page_0120 c6 [459, 358, 531, 445]",,
侣,rửa,4,2,4,,lãlữ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0214 c4 [999, 905, 1104, 1028]","stt2/page_0032 c3 [1129, 1506, 1232, 1621]",,
典,sách,4,2,2,,dếnđiếngđiểnđénđến,2,0.0000,A_TU_DIEN_THIEU,"stt2/page_0100 c6 [665, 1921, 767, 2039]","stt4/page_0090 c5 [582, 787, 655, 842]",,
几,ke,4,2,4,,cơdễghếhònki,677,0.0000,B_nghi,"stt11/page_0046 c8 [389, 2062, 495, 2179]","stt2/page_0058 c8 [390, 1829, 497, 1948]",,
刻,lời,4,3,4,,gắthặckhấckhắckhắt,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0270 c3 [1175, 2378, 1282, 2487]","stt2/page_0294 c7 [534, 1568, 644, 1693]",,
变,ví,4,2,4,,biếnbiếngbiểnbiệnbén,8,0.0000,A_TU_DIEN_THIEU,"stt11/page_0080 c5 [869, 969, 970, 1086]","stt11/page_0176 c6 [750, 1475, 856, 1593]",,
口,làm,4,3,4,,khạokhấukhẩuá,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0278 c9 [279, 2358, 355, 2456]","stt11/page_0284 c1 [1502, 499, 1604, 611]",,
吊,nào,4,2,4,,díuréođiếuđéo,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0154 c1 [1409, 440, 1517, 555]","stt11/page_0184 c6 [724, 889, 836, 1015]",,
同,muốn,4,2,3,,códòngdùnggiồngrùng,12,0.0000,A_TU_DIEN_THIEU,"stt2/page_0252 c8 [385, 1162, 498, 1297]","stt2/page_0252 c9 [234, 1308, 349, 1450]",,
后,nước,4,2,4,,hấuhậu,2,0.0000,A_TU_DIEN_THIEU,"stt2/page_0072 c3 [1113, 584, 1221, 701]","stt4/page_0094 c3 [747, 616, 817, 688]",,
地,bà,4,3,4,,giạgịarỉrịađĩa,38,0.0000,B_nghi,"stt11/page_0240 c2 [1315, 1708, 1421, 1810]","stt11/page_0260 c9 [242, 2121, 340, 2228]",,
地,khỏi,4,2,4,,giạgịarỉrịađĩa,38,0.0000,B_nghi,"stt2/page_0206 c5 [839, 2114, 948, 2237]","stt2/page_0260 c7 [555, 653, 661, 776]",,
奉,phung,4,2,4,,bóngbồngbổngphóngphụng,13,0.0000,A_TU_DIEN_THIEU,"stt2/page_0026 c6 [674, 1333, 783, 1448]","stt2/page_0040 c2 [1325, 569, 1427, 691]",,
宠,đem,4,2,4,,sủng,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0068 c8 [370, 1307, 473, 1431]","stt2/page_0248 c5 [851, 972, 959, 1095]",,
寺,thà,4,2,3,,nghiêmthìthờitự,398,0.0000,B_nghi,"stt2/page_0080 c1 [1445, 938, 1548, 1057]","stt2/page_0080 c1 [1446, 1484, 1550, 1596]",,
将,ngày,4,2,4,,thươngtươngtướng,7,0.0000,A_TU_DIEN_THIEU,"stt11/page_0190 c3 [1702, 2331, 1812, 2437]","stt11/page_0192 c4 [1032, 1634, 1133, 1747]",,
尾,đem,4,2,4,,vãvãivĩvạyvả,22,0.0000,B_nghi,"stt11/page_0220 c4 [1042, 442, 1141, 543]","stt11/page_0264 c4 [1041, 1251, 1142, 1364]",,
岫,ru,4,2,4,,tụ,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0164 c9 [231, 682, 326, 809]","stt2/page_0174 c2 [1296, 1130, 1400, 1247]",,
崐,ra,4,2,4,,buôngcônkêu,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0048 c7 [520, 956, 628, 1079]","stt4/page_0134 c4 [651, 1080, 723, 1164]",,
巽,là,4,2,4,,dọnlúnrốntốn,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0260 c7 [548, 1050, 648, 1161]","stt4/page_0046 c4 [668, 1015, 740, 1086]",,
庫,tốt,4,2,4,,khokhókhốkhổ,229,0.0000,B_nghi,"stt2/page_0080 c8 [374, 1971, 481, 2099]","stt2/page_0084 c2 [1278, 577, 1388, 697]",,
弇,ong,4,2,3,,yêmyểm,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0208 c5 [926, 2339, 1033, 2455]","stt2/page_0208 c7 [555, 2398, 651, 2514]",,
弟,nào,4,2,4,,dễđẫyđẽđễđệ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0090 c8 [379, 1891, 477, 2008]","stt11/page_0170 c1 [1466, 405, 1571, 510]",,
悔,ghiếc,4,3,4,,húihốihổimủi,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0056 c3 [1189, 1713, 1297, 1832]","stt11/page_0070 c6 [727, 816, 830, 930]",,
惮,dặn,4,2,4,,dạnđạnđậnđặn,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0174 c1 [1470, 606, 1580, 730]","stt2/page_0056 c4 [964, 1055, 1073, 1171]",,
愕,ra,4,2,4,,ngácngạcngắc,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0096 c5 [872, 1621, 981, 1737]","stt11/page_0256 c2 [1354, 974, 1457, 1088]",,
按,cũng,4,2,4,,ánướnấnớn,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0120 c6 [709, 1225, 821, 1333]","stt2/page_0020 c2 [1262, 960, 1362, 1086]",,
捧,cầm,4,2,4,,bòngbúngbồngbổngphỗng,0,0.0090,A_TU_DIEN_THIEU,"stt11/page_0020 c3 [1176, 1557, 1285, 1664]","stt11/page_0170 c7 [554, 1885, 662, 1996]",,
數,khi,4,2,4,,sácsốsổsỗsộ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0180 c3 [1196, 2319, 1294, 2432]","stt11/page_0214 c8 [388, 2008, 489, 2123]",,
朕,yêu,4,3,4,,chũmsẫmtrũmtrẫm,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0040 c5 [840, 2055, 942, 2157]","stt11/page_0050 c8 [429, 1551, 526, 1663]",,
本,bồn,4,2,4,,bônbảnbốnbổnbộn,126,0.0000,B_nghi,"stt2/page_0052 c2 [1256, 905, 1367, 1016]","stt2/page_0098 c1 [1411, 2139, 1528, 2249]",,
果,bốn,4,2,4,,ahủkhỏaquàquả,3,0.0000,A_TU_DIEN_THIEU,"stt11/page_0074 c1 [1496, 1887, 1610, 2013]","stt11/page_0296 c3 [1186, 1154, 1292, 1280]",,
柩,lấy,4,2,4,穊,chanhcửucữcữu,0,0.0000,B_OCR_NHAM,"stt11/page_0010 c8 [394, 1169, 500, 1290]","stt11/page_0024 c2 [1318, 603, 1423, 719]",,
森,trăm,4,3,4,,chùmdâmdúmdụmkhom,0,0.0257,A_TU_DIEN_THIEU,"stt11/page_0018 c1 [1462, 909, 1574, 1025]","stt2/page_0256 c4 [1001, 2416, 1109, 2529]",,
母,cả,4,2,4,,mômẫumẹvô,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0180 c7 [570, 1650, 697, 1764]","stt11/page_0218 c6 [684, 1824, 782, 1940]",,
活,nước,4,2,4,,athoạtoạcoặtquạt,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0266 c8 [422, 726, 522, 838]","stt2/page_0046 c8 [383, 958, 495, 1074]",,
深,ra,4,3,4,,thumthâmthămthẫmthẳm,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0262 c9 [255, 797, 349, 905]","stt2/page_0090 c5 [814, 2080, 921, 2187]",,
煆,lửa,4,3,4,,hàhạđoán,0,0.0221,A_TU_DIEN_THIEU,"stt11/page_0138 c9 [263, 2064, 362, 2179]","stt2/page_0058 c5 [839, 1460, 948, 1570]",,
爾,rày,4,2,4,,nenhãinhénhĩnhẫy,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0192 c2 [1255, 608, 1362, 741]","stt4/page_0044 c6 [475, 1115, 547, 1183]",,
犎,sau,4,2,4,,phong,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0090 c8 [356, 1925, 464, 2027]","stt2/page_0136 c9 [203, 1932, 297, 2047]",,
用,bây,4,2,4,,dongdungdòngdùngdúng,53,0.0000,B_nghi,"stt11/page_0270 c7 [545, 1385, 647, 1495]","stt11/page_0296 c1 [1487, 2212, 1584, 2322]",,
異,ra,4,2,4,,didịlạ,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0264 c7 [583, 1678, 684, 1790]","stt11/page_0290 c3 [1149, 801, 1248, 918]",,
疾,hãy,4,2,4,孩涘,tật,30,0.0000,B_OCR_NHAM,"stt2/page_0124 c1 [1440, 1988, 1554, 2109]","stt4/page_0204 c6 [483, 1519, 548, 1590]",,
破,võ,4,2,3,,phapháphèphớiphứa,24,0.0000,B_nghi,"stt11/page_0114 c4 [1022, 606, 1133, 720]","stt11/page_0114 c4 [1024, 2097, 1134, 2208]",,
碎,tội,4,2,4,,choichuichótchũingươi,489,0.0000,B_nghi,"stt2/page_0152 c1 [1425, 2327, 1535, 2443]","stt4/page_0258 c1 [957, 906, 1028, 981]",,
祕,lấy,4,2,4,,bí,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0042 c8 [416, 688, 520, 801]","stt2/page_0022 c9 [223, 1108, 338, 1218]",,
編,trói,4,3,3,,biênbiệnthiên,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0254 c7 [554, 1663, 658, 1772]","stt2/page_0190 c2 [1263, 591, 1370, 715]",,
繛,sau,4,2,4,,trạoxướcxược,0,,A_TU_DIEN_THIEU,"stt2/page_0156 c4 [961, 1676, 1073, 1797]","stt4/page_0082 c4 [664, 987, 738, 1061]",,
翅,vua,4,2,4,,síxí,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0232 c6 [713, 456, 825, 576]","stt2/page_0242 c3 [1141, 2399, 1249, 2517]",,
荒,dường,4,3,4,,hoanghoănghoảng,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0206 c5 [865, 1184, 970, 1307]","stt2/page_0074 c7 [511, 1126, 622, 1242]",,
莊,sống,4,2,4,,chanchangchăngchẳngdưa,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0064 c3 [1124, 1747, 1244, 1876]","stt2/page_0304 c5 [855, 1688, 963, 1810]",,
虎,đâu,4,2,4,,hốhổ,7,0.0000,A_TU_DIEN_THIEU,"stt11/page_0218 c8 [389, 2069, 485, 2181]","stt4/page_0038 c6 [466, 1117, 539, 1189]",,
覺,đâu,4,3,4,,accốcdácgiácgiáo,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0102 c6 [713, 1542, 823, 1669]","stt2/page_0150 c1 [1457, 1182, 1567, 1307]",,
遁,đạo,4,2,4,,chốndạodọnlộnnhộn,2,0.0000,A_TU_DIEN_THIEU,"stt2/page_0114 c1 [1447, 2014, 1560, 2122]","stt4/page_0128 c2 [848, 782, 909, 855]",,
銕,dây,4,3,4,𦀊,rèsắtthiết,0,0.0000,B_OCR_NHAM,"stt11/page_0048 c4 [971, 673, 1082, 792]","stt2/page_0190 c3 [1134, 1962, 1238, 2092]",,
錦,min,4,2,4,,cămcấmcầmcẩmgấm,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0290 c7 [547, 1774, 646, 1892]","stt2/page_0056 c8 [379, 1710, 468, 1807]",,
霖,trăm,4,3,4,,dầmlemlâmlấmlầm,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0012 c2 [1346, 2031, 1450, 2141]","stt11/page_0174 c7 [569, 417, 683, 526]",,
馬,dốc,4,2,4,,mãmảmởmỡmứa,7,0.0281,A_TU_DIEN_THIEU,"stt11/page_0068 c4 [1000, 1449, 1102, 1560]","stt11/page_0180 c8 [442, 2406, 550, 2513]",,
鬼,con,4,2,4,,eikhuỷuquaiquẽ,58,0.0000,B_nghi,"stt2/page_0128 c3 [1105, 1760, 1220, 1877]","stt4/page_0058 c8 [310, 772, 385, 852]",,
魯,rô,4,2,4,,giỗlõlúalổlỗ,1,0.0000,A_TU_DIEN_THIEU,"stt2/page_0064 c6 [651, 559, 761, 682]","stt4/page_0030 c6 [457, 916, 526, 989]",,
𠲘,nghĩa,4,2,4,,thiếnthiện,0,,A_TU_DIEN_THIEU,"stt11/page_0170 c1 [1478, 1124, 1559, 1232]","stt2/page_0074 c2 [1281, 1252, 1383, 1372]",,
𠾖,bốn,4,3,4,,khí,1,,A_TU_DIEN_THIEU,"stt11/page_0236 c6 [723, 2321, 824, 2432]","stt2/page_0054 c8 [356, 819, 463, 930]",,
𥘍,lấy,4,2,4,,,0,,A_TU_DIEN_THIEU,"stt11/page_0120 c8 [390, 1249, 497, 1368]","stt2/page_0050 c1 [1452, 1974, 1556, 2084]",,
𦋺,rày,4,2,4,,,0,,A_TU_DIEN_THIEU,"stt2/page_0246 c1 [1436, 555, 1547, 668]","stt2/page_0302 c4 [981, 864, 1089, 993]",,
𦥷,là,4,2,4,,hênhănghưnghứng,0,,A_TU_DIEN_THIEU,"stt11/page_0088 c1 [1495, 1556, 1595, 1661]","stt11/page_0098 c3 [1168, 1718, 1276, 1838]",,
𧊵,ong,4,2,4,,,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0020 c7 [565, 1595, 679, 1701]","stt11/page_0186 c6 [749, 691, 851, 803]",,
𧹒,mới,4,2,4,,,0,0.0472,A_TU_DIEN_THIEU,"stt11/page_0220 c7 [579, 2023, 684, 2134]","stt4/page_0026 c3 [763, 276, 837, 345]",,
𫝕,rằng,4,2,4,,,0,,A_TU_DIEN_THIEU,"stt2/page_0040 c3 [1173, 1632, 1277, 1751]","stt4/page_0162 c9 [185, 553, 264, 626]",,
𫝰,xuống,4,2,4,,,0,,A_TU_DIEN_THIEU,"stt11/page_0248 c5 [881, 1973, 980, 2079]","stt11/page_0260 c6 [706, 2180, 808, 2301]",,
𫠉,mở,4,2,4,,,0,,A_TU_DIEN_THIEU,"stt11/page_0148 c7 [581, 698, 689, 810]","stt2/page_0246 c5 [853, 1845, 959, 1965]",,
𬻝,vồ,4,2,4,,,0,,A_TU_DIEN_THIEU,"stt2/page_0246 c1 [1435, 1606, 1548, 1716]","stt4/page_0138 c7 [354, 535, 425, 610]",,
𬻝,vô,4,2,4,,,0,,A_TU_DIEN_THIEU,"stt2/page_0306 c9 [273, 1128, 393, 1263]","stt4/page_0040 c3 [766, 679, 845, 751]",,
𮅕,xin,4,2,4,,,0,,A_TU_DIEN_THIEU,"stt11/page_0296 c6 [737, 1923, 845, 2041]","stt4/page_0016 c5 [590, 842, 661, 921]",,
㐲,ấy,3,2,3,,,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0164 c8 [435, 799, 533, 914]","stt11/page_0250 c6 [724, 1500, 825, 1612]",,
㸃,mặc,3,2,3,,bếpchúmchấmđiểmđém,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0140 c8 [423, 1128, 536, 1236]","stt11/page_0184 c6 [727, 1083, 835, 1204]",,
㸔,tiếng,3,2,3,,khankhánkhản,0,,A_TU_DIEN_THIEU,"stt11/page_0142 c7 [530, 1015, 635, 1125]","stt2/page_0090 c6 [662, 1719, 765, 1825]",,
丁,cá,3,2,2,,chênhtranhtrànhtênhđanh,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0042 c2 [1280, 1603, 1380, 1710]","stt4/page_0118 c4 [672, 1003, 744, 1083]",,
举,bốn,3,2,3,,cử,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0258 c2 [1291, 1900, 1392, 2016]","stt2/page_0176 c7 [503, 2019, 615, 2146]",,
乞,vào,3,2,3,,cậtgậthấchấthắt,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0066 c9 [254, 903, 351, 1013]","stt11/page_0120 c1 [1475, 1210, 1582, 1247]",,
些,cùng,3,2,3,,aitatátạxinh,317,0.0000,B_nghi,"stt11/page_0174 c4 [1016, 1455, 1125, 1577]","stt11/page_0226 c8 [411, 2085, 507, 2199]",,
交,lại,3,2,3,,daogiao,1,0.0000,A_TU_DIEN_THIEU,"stt2/page_0014 c4 [970, 1312, 1062, 1414]","stt4/page_0168 c7 [411, 1513, 478, 1589]",,
亮,đầu,3,2,3,,lươnglượng,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0192 c7 [568, 2078, 679, 2199]","stt4/page_0100 c5 [574, 686, 647, 766]",,
仐,ông,3,2,3,,tàntántản,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0142 c6 [682, 1953, 794, 2051]","stt11/page_0274 c4 [1025, 512, 1124, 623]",,
佃,đến,3,2,3,,ruộngđiền,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0070 c6 [716, 1739, 822, 1854]","stt2/page_0116 c2 [1313, 2088, 1413, 2211]",,
侘,đem,3,2,3,,sá,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0106 c7 [594, 641, 695, 757]","stt11/page_0294 c8 [411, 2081, 508, 2196]",,
係,hê,3,2,3,,hềhểhễhệhỡi,10,0.0000,A_TU_DIEN_THIEU,"stt11/page_0028 c3 [1178, 1590, 1282, 1711]","stt11/page_0168 c8 [434, 1667, 541, 1774]",,
八,ý,3,2,3,,bátbétbítbắtbịt,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0016 c4 [1045, 1007, 1148, 1120]","stt11/page_0080 c3 [1165, 2367, 1272, 2476]",,
兮,ông,3,2,2,,ahềngây,15,0.0000,A_TU_DIEN_THIEU,"stt11/page_0206 c1 [1477, 507, 1583, 623]","stt11/page_0206 c7 [560, 2172, 658, 2289]",,
几,ké,3,2,3,,cơdễghếhònki,677,0.0000,B_nghi,"stt11/page_0248 c6 [721, 1268, 823, 1382]","stt11/page_0254 c6 [737, 431, 834, 524]",,
分,làm,3,2,3,爫,biệnbẹhềlờiphen,63,0.0000,B_OCR_NHAM,"stt11/page_0026 c8 [393, 1440, 508, 1542]","stt4/page_0036 c8 [285, 792, 356, 868]",,
初,lời,3,2,3,,chưahuyễnsơsờthơ,7,0.0000,A_TU_DIEN_THIEU,"stt2/page_0320 c1 [1416, 2245, 1536, 2389]","stt4/page_0098 c3 [757, 462, 826, 535]",,
即,chịu,3,2,3,,tức,13,0.0000,A_TU_DIEN_THIEU,"stt11/page_0256 c6 [755, 1231, 857, 1344]","stt4/page_0066 c5 [561, 1137, 652, 1213]",,
厉,đức,3,2,3,,lạilệ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0222 c6 [727, 1174, 828, 1289]","stt11/page_0246 c6 [730, 786, 835, 888]",,
句,làm,3,2,3,,cucâucùcúcấu,4,0.0000,A_TU_DIEN_THIEU,"stt11/page_0062 c3 [1166, 619, 1268, 723]","stt11/page_0206 c8 [398, 1484, 503, 1598]",,
吃,hay,3,2,3,,cậtcợtgậthấchất,0,0.0288,A_TU_DIEN_THIEU,"stt2/page_0312 c9 [237, 1223, 344, 1352]","stt4/page_0076 c9 [179, 379, 243, 449]",,
呪,ngọt,3,2,3,,chúhuếnh,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0012 c8 [409, 1562, 517, 1679]","stt11/page_0254 c9 [243, 1579, 339, 1685]",,
呻,ru,3,2,3,,hạpthânthănthơn,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0144 c4 [1036, 960, 1138, 1071]","stt2/page_0012 c9 [202, 1935, 297, 2042]",,
咲,hai,3,3,3,,tiếutéo,0,0.0097,A_TU_DIEN_THIEU,"stt11/page_0156 c5 [883, 1675, 993, 1788]","stt2/page_0262 c1 [1420, 1086, 1547, 1211]",,
哦,day,3,2,3,,hóengangoa,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0272 c7 [598, 2397, 703, 2500]","stt11/page_0274 c2 [1320, 965, 1419, 1076]",,
唐,vì,3,2,3,,dểgiềngđàngđườngđằng,56,0.0000,B_nghi,"stt2/page_0050 c8 [392, 1150, 501, 1251]","stt2/page_0214 c1 [1445, 2168, 1552, 2287]",,
唱,hay,3,2,3,,sướngxangxươngxướngxắng,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0102 c5 [880, 439, 991, 545]","stt11/page_0236 c1 [1481, 1187, 1582, 1302]",,
唼,ăn,3,2,3,,mépthiếpthépxiếpxiệp,0,0.0112,A_TU_DIEN_THIEU,"stt11/page_0012 c7 [576, 1268, 705, 1391]","stt11/page_0234 c6 [703, 1154, 804, 1261]",,
喝,giã,3,2,3,,cápgạtháthéthít,12,0.0000,A_TU_DIEN_THIEU,"stt11/page_0200 c3 [1182, 601, 1284, 720]","stt11/page_0274 c6 [716, 2266, 820, 2383]",,
囚,tu,3,2,2,,sùtù,38,0.0000,B_nghi,"stt11/page_0062 c4 [1008, 2294, 1115, 2402]","stt11/page_0062 c6 [699, 1530, 811, 1647]",,
团,bây,3,2,3,,đoàn,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0162 c4 [1138, 1551, 1237, 1658]","stt11/page_0276 c4 [1051, 1505, 1170, 1624]",,
坤,khốn,3,2,3,,chẳngkhuônkhônkhông,23,0.0115,B_nghi,"stt2/page_0044 c8 [361, 1045, 463, 1166]","stt2/page_0310 c9 [261, 781, 362, 906]",,
報,sống,3,2,2,𧚠,báobéobướubấunấn,0,0.0000,B_OCR_NHAM,"stt11/page_0114 c1 [1459, 1030, 1571, 1150]","stt11/page_0290 c3 [1137, 1438, 1239, 1550]",,
好,cả,3,2,3,,hiếuháoháuhãohảo,1,0.0138,A_TU_DIEN_THIEU,"stt11/page_0170 c6 [722, 2377, 826, 2476]","stt4/page_0102 c5 [565, 1301, 638, 1383]",,
妄,nhà,3,2,3,,trăngvongvòngvôvọng,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0288 c7 [524, 1887, 634, 2012]","stt4/page_0096 c6 [469, 664, 538, 739]",,
妨,cô,3,2,3,,bàngphòngphươngphướngphường,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0022 c9 [231, 520, 326, 586]","stt11/page_0088 c5 [899, 1625, 1008, 1741]",,
媚,em,3,3,3,,mìmẩymịmỵmỹ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0032 c4 [1003, 885, 1114, 1003]","stt2/page_0114 c3 [1145, 1286, 1250, 1392]",,
将,giữ,3,2,3,,thươngtươngtướng,7,0.0000,A_TU_DIEN_THIEU,"stt2/page_0214 c8 [394, 1799, 503, 1916]","stt4/page_0044 c8 [278, 1378, 345, 1452]",,
尚,thắng,3,2,3,,chuộngsượngthượngthảngthằng,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0134 c9 [262, 1024, 349, 1127]","stt4/page_0028 c8 [255, 996, 323, 1072]",,
尾,vía,3,2,3,,vãvãivĩvạyvả,22,,B_nghi,"stt11/page_0138 c8 [413, 1191, 509, 1304]","stt11/page_0214 c8 [388, 1439, 488, 1555]",,
崤,tê,3,2,3,,hàoyêm,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0092 c3 [1131, 1849, 1231, 1961]","stt2/page_0170 c5 [832, 1181, 950, 1301]",,
崦,em,3,2,3,,yêm,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0032 c3 [1154, 983, 1262, 1096]","stt11/page_0224 c4 [1031, 2090, 1134, 2207]",,
帝,đi,3,2,3,,rếđêđíđóđấy,122,0.0000,B_nghi,"stt2/page_0048 c8 [380, 569, 480, 677]","stt2/page_0306 c8 [417, 657, 528, 781]",,
師,phải,3,2,3,,sưsưatitơtư,1,0.0000,A_TU_DIEN_THIEU,"stt2/page_0226 c6 [723, 581, 824, 694]","stt2/page_0300 c4 [1017, 1979, 1129, 2110]",,
庇,mà,3,2,3,,títýtỉ,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0268 c5 [834, 1122, 936, 1239]","stt4/page_0136 c7 [392, 1206, 461, 1279]",,
应,chịu,3,2,3,,ưngứng,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0082 c4 [962, 1110, 1071, 1189]","stt4/page_0162 c6 [488, 776, 560, 846]",,
康,xứ,3,2,3,,khangkhăngkhương,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0094 c8 [409, 897, 511, 1019]","stt4/page_0156 c2 [877, 813, 949, 897]",,
廷,lại,3,2,3,,đình,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0086 c5 [845, 1521, 953, 1631]","stt2/page_0098 c9 [199, 1752, 304, 1868]",,
廻,vua,3,2,3,,hòihùihồi,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0232 c9 [261, 1779, 366, 1902]","stt2/page_0300 c8 [405, 489, 519, 610]",,
弹,sau,3,2,3,,dàndạnhátrờnđan,4,0.0000,A_TU_DIEN_THIEU,"stt2/page_0124 c9 [213, 1069, 312, 1190]","stt4/page_0076 c7 [369, 1279, 433, 1351]",,
思,quý,3,2,3,,mơtaitaytitơ,14,0.0000,A_TU_DIEN_THIEU,"stt11/page_0042 c8 [414, 507, 521, 621]","stt2/page_0256 c9 [230, 785, 331, 915]",,
恩,on,3,3,3,,ânơn,77,0.0000,B_nghi,"stt11/page_0094 c4 [1024, 2300, 1125, 2419]","stt2/page_0286 c4 [977, 931, 1088, 1074]",,
息,dức,3,2,3,,tức,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0148 c1 [1478, 835, 1590, 956]","stt11/page_0168 c7 [575, 1070, 677, 1187]",,
慱,sợ,3,2,3,,huệđoàn,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0038 c5 [848, 494, 953, 601]","stt2/page_0190 c1 [1415, 993, 1511, 1115]",,
探,chóng,3,2,3,,dầmphămthamthámthóm,8,,A_TU_DIEN_THIEU,"stt2/page_0052 c5 [832, 1028, 932, 1137]","stt4/page_0058 c2 [896, 786, 969, 873]",,
改,một,3,2,3,,cãicảicởicửigãi,55,0.0135,B_nghi,"stt11/page_0242 c9 [266, 1544, 359, 1649]","stt4/page_0108 c6 [499, 1011, 566, 1083]",,
效,số,3,2,3,,hiệuhàoloài,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0272 c5 [848, 766, 962, 894]","stt4/page_0246 c4 [674, 698, 745, 778]",,
敗,khi,3,2,3,,bạibậyvại,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0226 c9 [273, 2137, 372, 2177]","stt4/page_0034 c6 [449, 623, 520, 695]",,
族,mẹ,3,2,3,媄,sộcthấuthốctấutọc,0,0.0000,B_OCR_NHAM,"stt11/page_0106 c1 [1477, 1612, 1582, 1726]","stt4/page_0088 c3 [759, 1049, 828, 1120]",,
既,nước,3,2,3,,cáycướicấydĩkí,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0148 c1 [1419, 1018, 1543, 1129]","stt2/page_0310 c3 [1141, 1592, 1252, 1717]",,
旺,uống,3,3,3,,vướngvượngvạng,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0092 c1 [1477, 794, 1582, 908]","stt2/page_0202 c5 [867, 1306, 976, 1435]",,
明,ngày,3,2,3,,bằngminhmiêngmênhmình,88,0.0000,B_nghi,"stt11/page_0150 c8 [351, 2211, 453, 2328]","stt11/page_0202 c5 [873, 1186, 980, 1302]",,
